form_id,widget_name,Form Category,Submissions
200878338440054,Spreadsheet to form,Registration Form,431743
91564749358371,Terms & Conditions,Content Form,317908
71996756829884,Infinite List,Content Form,256172
200776603410043,"Smooth Signature,Take Photo,E-Signature",Registration Form,200141
70363832641353,Get Form Page URL,Registration Form,199298
201261180817549,"Auto Complete,User Contributed Dropdown",Registration Form,195413
201176455915053,Form Calculation,Surveys,182279
201124604377044,Social Share,Petition Form,137157
200818831759564,"E-Signature,Auto Complete,Unique ID,Submissions Counter",Request Form,135071
92747203146153,Take Photo,Evaluation Form,132080
81425171088153,Google Analytics,Registration Form,117437
201255239762051,Terms & Conditions,Report Form,110827
201125511351842,Take Photo,Application Form,109434
201255434515246,E-Signature,Consent/Acknowledgement Form,101022
200805363981355,Take Photo,Report Form,95664
200916782263053,Image Picker,Contact Form,92199
60954665382970,Take Photo,Report Form,89866
70854048224657,Autocompleted Address,Registration Form,83694
200515296463151,"Google Analytics,Get Referrer,E-Signature,Take Photo,Terms & Conditions",Registration Form,78800
73324679544162,"YouTube,Global Countdown,Iframe Embed",Report Form,77515
80595178305159,Spacer,Request Form,77050
200504178486153,Google Analytics,Surveys,74500
200614390201641,Drag-and-Drop Upload,Registration Form,72241
200612571095449,Get Form Page URL,Contact Form,72018
200783478024153,E-Signature,Registration Form,68822
200266765436256,QR Code Reader,Registration Form,68749
30307486413450,Get Visitor Location,Contact Form,68624
200924692711151,DateTime Single,Evaluation Form,68021
201013433508037,Geo Stamp,Report Form,67054
92348394499475,Short Scrollable Terms,Application Form,65836
80233840468962,"Localized Calendar,iOS7 Date,Large Time Picker",Registration Form,62417
201256704868258,E-Signature,Report Form,58538
200653892883162,YouTube,Registration Form,58015
200958941498066,Iframe Embed,Registration Form,57979
200293969535161,"Draw on Image,Take Photo,Smooth Signature",Report Form,57034
70866773666170,Short Scrollable Terms,Consent/Acknowledgement Form,56684
81267504917865,Get Referrer,Registration Form,56361
200371613099048,Form Calculation,Report Form,56195
82155693924162,"Terms & Conditions,E-Signature",Registration Form,55381
92978764251471,Geolocation,Report Form,54619
72601349500448,Multiple Selection,Content Form,53824
81547306540858,"Get Form Page URL,Terms & Conditions",Registration Form,53209
200516949447159,Instagram,Registration Form,53192
61097454408156,GeoComplete,Report Form,52749
201087570026045,Take Photo,Surveys,51990
201087754701655,"Take Photo,Terms & Conditions,Progress Bar",Report Form,50521
81634666101857,Take Photo,Report Form,50237
92263516309356,Big Header (Comics),Report Form,49724
201226555442146,E-Signature,Consent/Acknowledgement Form,49343
81425521788159,"E-Signature,Google Analytics,Terms & Conditions",Registration Form,48999
201033158259450,"Configurable List,Infinite List",Registration Form,48911
93094550258158,Barcode Scanner,Report Form,48250
60776203219959,Accessibility Enhancer,Contact Form,47955
200638506772861,"Take Photo,Time Tracker",Report Form,47650
200949197656469,"Infinite List,Form Calculation",Report Form,46964
200714613724145,QR Code Reader,Registration Form,44975
50073699852970,Auto Complete,Report Form,44848
70997689384683,Take Photo,Registration Form,44153
91542184329964,E-Signature,Registration Form,44023
91766933469171,E-Signature,Consent/Acknowledgement Form,43378
52986666698179,Global Countdown,Consent/Acknowledgement Form,42838
200728448739162,"E-Signature,PDF Embedder,Take Photo",Consent/Acknowledgement Form,41706
